iter	Accuracy	Logloss
0	0.7902136566	0.6346827467
1	0.7902136566	0.5686648532
2	0.7902531496	0.5313665655
3	0.7902531496	0.4879776726
4	0.7903321354	0.4548405555
5	0.7904506141	0.4490005217
6	0.7904506141	0.4369596305
7	0.7904506141	0.421559578
8	0.7904111212	0.4174063551
9	0.7902136566	0.4148603084
10	0.7902926425	0.4125791336
11	0.7902531496	0.4049287184
12	0.7902136566	0.4032981742
13	0.7902136566	0.399664061
14	0.7902136566	0.397514124
15	0.7902136566	0.3926685513
16	0.7902136566	0.3914613788
17	0.7902926425	0.387464606
18	0.7903321354	0.3866030285
19	0.7903321354	0.3859026872
20	0.7903321354	0.3848970578
21	0.7903321354	0.3788388359
22	0.7902926425	0.3777854486
23	0.7902926425	0.3772552087
24	0.7902926425	0.3767306695
25	0.7902926425	0.3764527941
26	0.7903321354	0.3756415194
27	0.7902926425	0.3737554311
28	0.7902926425	0.3733804326
29	0.7903321354	0.3730781455
30	0.7903321354	0.370814392
31	0.7903321354	0.3705270178
32	0.7903321354	0.3704240071
33	0.7903321354	0.3687536077
34	0.7903321354	0.3686015417
35	0.7903321354	0.3685391667
36	0.7903321354	0.3684773772
37	0.7903321354	0.3683747675
38	0.7903321354	0.3665066522
39	0.7903321354	0.3664223515
40	0.7903321354	0.3662517932
41	0.7903321354	0.3654261429
42	0.7903321354	0.364804701
43	0.7903321354	0.3647982016
44	0.7903716283	0.3640916142
45	0.7903716283	0.3640495382
46	0.7903716283	0.3639875218
47	0.7904111212	0.363982676
48	0.7904111212	0.3639419461
49	0.7904506141	0.3638911975
50	0.790490107	0.3632700335
