iter	Passed	Remaining
0	18	18484
1	32	16336
2	42	14221
3	55	13906
4	67	13371
5	78	13030
6	90	12800
7	101	12587
8	111	12263
9	116	11525
10	123	11100
11	134	11033
12	140	10688
13	151	10681
14	164	10833
15	178	10951
16	186	10765
17	196	10719
18	205	10605
19	212	10393
20	223	10434
21	233	10371
22	244	10378
23	249	10156
24	260	10149
25	268	10072
26	280	10115
27	293	10181
28	307	10279
29	318	10299
30	330	10337
31	342	10369
32	351	10301
33	362	10287
34	374	10327
35	381	10226
36	389	10126
37	401	10166
38	414	10212
39	422	10148
40	435	10186
41	450	10268
42	464	10340
43	473	10286
44	486	10323
45	499	10366
46	514	10429
47	523	10384
48	538	10441
49	551	10477
50	564	10508
